file_name,text_length,chunks_count,expected_sentiment_value,sentiment_volatility
1.txt,986,3,3.6017,1.0339
10.txt,69,1,2.9894,0.0
100.txt,316,1,3.0385,0.0
1000.txt,57,1,3.8703,0.0
1001.txt,1386,4,2.9695,0.0505
1002.txt,110,1,3.0145,0.0
1003.txt,34,1,3.0011,0.0
1004.txt,3021,8,3.2645,0.4035
1005.txt,1049,3,3.2896,0.2095
1006.txt,345,1,3.0007,0.0
1007.txt,40,1,2.759,0.0
1008.txt,41,1,3.0085,0.0
1009.txt,1025,3,3.0057,0.0868
101.txt,590,2,2.8081,0.1969
1010.txt,44,1,3.2762,0.0
1011.txt,45,1,3.1542,0.0
1012.txt,2824,8,2.905,0.3732
1013.txt,92,1,3.0204,0.0
1014.txt,77,1,2.8053,0.0
1015.txt,686,2,2.8391,0.4823
1016.txt,85,1,1.847,0.0
1017.txt,165,1,3.6268,0.0
1018.txt,431,2,2.8861,0.1884
1019.txt,715,2,2.9606,0.0756
102.txt,555,2,2.4603,0.2823
1020.txt,2540,7,2.9753,0.1029
1021.txt,2125,6,2.4394,0.782
1022.txt,262,1,2.8898,0.0
1023.txt,60,1,3.001,0.0
1024.txt,267,1,3.0173,0.0
1025.txt,99,1,3.0897,0.0
1026.txt,415,2,3.4738,0.4198
1027.txt,182,1,3.2929,0.0
1028.txt,336,1,4.368,0.0
1029.txt,1331,4,3.0648,0.2357
103.txt,192,1,2.9965,0.0
1030.txt,215,1,2.6581,0.0
1031.txt,203,1,2.9817,0.0
1032.txt,1189,3,2.3195,0.1348
1033.txt,1029,3,3.155,0.2161
1034.txt,558,2,3.6965,0.5643
1035.txt,230,1,4.2152,0.0
1036.txt,171,1,2.972,0.0
1037.txt,2751,7,3.2121,0.3353
1038.txt,1493,4,3.004,0.003
1039.txt,2168,6,2.4068,0.3464
104.txt,110,1,2.8342,0.0
1040.txt,231,1,2.9655,0.0
1041.txt,1044,3,3.0832,0.2132
1042.txt,3739,10,3.0758,0.8748
1043.txt,163,1,2.9711,0.0
1044.txt,280,1,3.0042,0.0
1045.txt,228,1,3.0123,0.0
1046.txt,4513,12,3.0882,0.6692
1047.txt,45,1,3.4143,0.0
1048.txt,68,1,3.0823,0.0
1049.txt,461,2,3.035,0.0416
105.txt,74,1,3.0652,0.0
1050.txt,350,1,3.4299,0.0
1051.txt,76,1,3.0105,0.0
1052.txt,5142,13,3.1663,0.4551
1053.txt,195,1,4.4559,0.0
1054.txt,239,1,4.3862,0.0
1055.txt,125,1,2.8258,0.0
1056.txt,159,1,3.0198,0.0
1057.txt,896,3,3.9652,0.6258
1058.txt,6025,16,3.3232,0.9287
1059.txt,326,1,3.0084,0.0
106.txt,166,1,3.5231,0.0
1060.txt,67,1,3.1845,0.0
1061.txt,3262,9,2.8237,0.5663
1062.txt,2372,6,3.5734,0.536
1063.txt,2755,7,3.1673,0.3299
1064.txt,1204,4,2.7089,0.6753
1065.txt,658,2,3.0024,0.003
1066.txt,1084,3,2.9904,0.0183
1067.txt,509,2,2.4099,0.0464
1068.txt,222,1,3.1535,0.0
1069.txt,1410,4,3.3368,0.3615
107.txt,70,1,3.0018,0.0
1070.txt,930,3,3.1032,0.1127
1071.txt,135,1,3.0172,0.0
1072.txt,421,2,3.1349,0.0049
1073.txt,113,1,3.7771,0.0
1074.txt,842,3,3.1522,0.2065
1075.txt,1134,3,3.6317,0.72
1076.txt,101,1,2.8611,0.0
1077.txt,1076,3,2.4815,0.5087
1078.txt,204,1,3.1321,0.0
1079.txt,497,2,2.9813,0.0152
108.txt,141,1,2.8516,0.0
1080.txt,3257,9,3.0941,0.9159
1081.txt,222,1,3.3388,0.0
1082.txt,1696,5,3.0316,0.0519
1083.txt,303,1,3.1338,0.0
1084.txt,2785,7,2.8908,0.546
1085.txt,36,1,3.0639,0.0
1086.txt,1137,3,2.7627,0.304
1087.txt,1677,5,3.1825,0.9852
1088.txt,2922,8,3.1333,0.55
1089.txt,255,1,4.5722,0.0
109.txt,145,1,2.8203,0.0
1090.txt,88,1,2.2809,0.0
1091.txt,95,1,2.5847,0.0
1092.txt,1981,5,3.1178,0.1514
1093.txt,226,1,3.4893,0.0
1094.txt,37,1,2.9657,0.0
1095.txt,1574,4,3.0188,0.0277
1096.txt,109,1,2.8809,0.0
1097.txt,1022,3,4.4103,0.2125
1098.txt,231,1,2.998,0.0
1099.txt,1625,5,3.3224,0.6501
11.txt,1125,3,2.9865,0.0107
110.txt,24,1,3.0225,0.0
1100.txt,130,1,2.9923,0.0
1101.txt,337,1,3.065,0.0
1102.txt,109,1,3.1565,0.0
1103.txt,643,2,2.9621,0.0688
1104.txt,1437,4,3.1177,0.08
1105.txt,234,1,3.1865,0.0
1106.txt,97,1,2.9985,0.0
1107.txt,113,1,2.1922,0.0
1108.txt,68,1,2.9582,0.0
1109.txt,224,1,2.977,0.0
111.txt,83,1,3.0254,0.0
1110.txt,345,1,1.3816,0.0
