label,edited,likeCount,collectionCount,shareCount,wordCount,lfFreq,emojiPerWord,withImages,withVideos,imageCount,videoCount,imageTextRatio,videoTextRatio,mediaTextRatio,linkPerWord,utmLinkRatio,authorSuspicious,authorHasCreatorBadge,authorHasOfficialCreatorBadge,postCount,timeDiffDays,postFreq,maxPostsPerDay,maxPostsPer12h,postIntervalStd,businessHourRatio,weekendRatio,travelPostRatio,forumVariety,forumEvenness,avgLikes,commentCount,totalCommentCount,subcomDepth,authorReplyRatio,authorReplyLinkRatio,authorReplyUTMLinkRatio,firstCommentTimeDiff,first30MinCommentRatio,text_length,expected_sentiment_value,sentiment_volatility,bert_article_pca_001,bert_article_pca_002,bert_article_pca_003,bert_article_pca_004,bert_article_pca_005,bert_article_pca_006,bert_article_pca_007,bert_article_pca_008,bert_article_pca_009,bert_article_pca_010,bert_article_pca_011,bert_article_pca_012,bert_article_pca_013,bert_article_pca_014,bert_article_pca_015,bert_article_pca_016,bert_article_pca_017,bert_article_pca_018,bert_article_pca_019,bert_article_pca_020,bert_article_pca_021,bert_article_pca_022,bert_article_pca_023,bert_article_pca_024,bert_article_pca_025,bert_article_pca_026,bert_article_pca_027,bert_article_pca_028,bert_article_pca_029,bert_article_pca_030,bert_article_pca_031,bert_article_pca_032,bert_article_pca_033,bert_article_pca_034,bert_article_pca_035,bert_article_pca_036,bert_article_pca_037,bert_article_pca_038,bert_article_pca_039,bert_article_pca_040,bert_article_pca_041,bert_article_pca_042,bert_article_pca_043,bert_article_pca_044,bert_article_pca_045,bert_article_pca_046,bert_article_pca_047,bert_article_pca_048,bert_article_pca_049,bert_article_pca_050,bert_article_pca_051,bert_article_pca_052,bert_article_pca_053,bert_article_pca_054,bert_article_pca_055,bert_article_pca_056,bert_article_pca_057,bert_article_pca_058,bert_article_pca_059,bert_article_pca_060,bert_article_pca_061,bert_article_pca_062,bert_article_pca_063,bert_article_pca_064,bert_article_pca_065,bert_article_pca_066,bert_article_pca_067,bert_article_pca_068,bert_article_pca_069,bert_article_pca_070,bert_article_pca_071,bert_article_pca_072,bert_article_pca_073,bert_article_pca_074,bert_article_pca_075,bert_article_pca_076,bert_article_pca_077,bert_article_pca_078,bert_article_pca_079,bert_article_pca_080,bert_article_pca_081,bert_article_pca_082,bert_article_pca_083,bert_article_pca_084,bert_article_pca_085,bert_article_pca_086,bert_article_pca_087,bert_article_pca_088,bert_article_pca_089,bert_article_pca_090,bert_article_pca_091,bert_article_pca_092,bert_article_pca_093,bert_article_pca_094,bert_article_pca_095,bert_article_pca_096,bert_article_pca_097,bert_article_pca_098,bert_article_pca_099,bert_article_pca_100,bert_article_pca_101,bert_article_pca_102,bert_article_pca_103,bert_article_pca_104,bert_article_pca_105,bert_article_pca_106,bert_article_pca_107,bert_article_pca_108,bert_article_pca_109,bert_article_pca_110,bert_article_pca_111,bert_article_pca_112,bert_article_pca_113,bert_article_pca_114,bert_article_pca_115,bert_article_pca_116,bert_article_pca_117,bert_article_pca_118,bert_article_pca_119,bert_article_pca_120,bert_article_pca_121,bert_article_pca_122,bert_article_pca_123,bert_article_pca_124,bert_article_pca_125,bert_article_pca_126,bert_article_pca_127,bert_article_pca_128,cat_freq_cta_click,cat_freq_promotion,cat_freq_urgency,cat_freq_disclosure,cat_freq_platform_brand,cat_freq_recommendation,cat_freq_lottery
F,1.0,45.0,107.0,11.0,5647.0,0.0318753320347086,0.0100938551443244,1.0,0.0,51.0,0.0,9.031344076500798,0.0,9.031344076500798,0.0015937666017354,0.0,0.0,0.0,0.0,28.0,469.8644791666667,0.0595916508727361,1.0,1.0,17.374784156994217,0.0714285714285714,0.6071428571428571,0.0714285714285714,3.169925001442312,0.7725069167540703,30.321428571428573,5.0,8.0,0.375,0.375,0.0,0.0,77.39675000000001,0.0,986,3.6017,1.0339,-0.29236105,-4.0149107,-1.2838525,0.9540245,-1.5562178,-2.1023414,0.16489965,-0.20540081,0.090477824,-1.1497006,1.7165012,-0.59126157,-0.21484862,-0.9824509,-0.8559317,-1.0639085,0.006924762,-0.2556898,-0.79742765,-0.24858841,0.8279905,0.2833549,-0.44260043,-0.34994978,0.3125359,-0.23342656,-0.20016202,0.3032636,-0.52110887,-0.038654376,0.28126487,-0.05390395,0.15507765,0.36652833,0.12611525,0.08718383,-0.10641971,-0.36785913,0.17895895,-0.48442054,0.20325911,-0.12983486,-0.270025,-0.32650524,-0.00600371,-0.085862815,-0.09104981,-0.05224008,-0.029437033,-0.21755917,0.33680296,-0.34386796,0.3868158,-0.18131481,-0.017056247,-0.32823738,-0.094124734,0.37194517,0.12657431,-0.08638558,0.0708395,-0.10297366,-0.4683944,-0.00665628,0.11807725,0.16110277,0.24675542,0.15500936,0.36113942,-0.3097834,-0.14400372,-0.103421286,-0.116897844,0.15471981,0.10881517,-0.3099929,0.045820486,0.102206945,-0.006289382,-0.069979556,0.053629424,0.33789974,0.21148597,0.096105695,-0.0037181426,0.108151294,0.20034434,-0.22143202,0.2583926,0.29234076,0.06747099,0.14530104,-0.083953075,0.23914653,-0.10438455,-0.073997654,0.11504892,-0.18225183,0.10271965,0.35422057,-0.2397178,0.4029917,-0.31953365,0.035709,0.10688654,-0.11840347,0.10317774,-0.26516187,-0.3948187,0.12679657,0.113700606,0.18225557,0.034922894,-0.14548449,0.27389392,-0.18092369,-0.077221006,0.21512383,0.062602505,0.12367344,0.29692054,0.11745009,-0.059058156,-0.19918679,0.033081107,0.018432619,-0.05251436,0.2697259,0.0005312555339118116,0.0003541703559412077,0.00017708517797060386,0.0010625110678236232,0.0,0.0,0.0
T,1.0,34.0,41.0,2.0,8175.0,0.0481957186544342,0.0138226299694189,1.0,1.0,36.0,2.0,4.403669724770642,0.2446483180428134,4.648318042813456,0.0,0.0,0.0,0.0,0.0,8.0,795.3879513888888,0.0100579848940766,1.0,1.0,68.97337462328176,0.5,0.25,1.0,1.0,0.0,150.5,7.0,21.0,0.6666666666666666,0.4285714285714285,0.0,0.0,316.3493,0.0,5134,2.4686,0.6033,-1.5096495,-1.4971614,1.5819842,-0.63675994,-0.68093437,0.19477318,-0.70471793,0.24368382,0.73497343,-0.35747483,-0.08604245,0.34732422,0.60872036,-0.09660682,0.06199068,0.52544254,-0.19685957,0.100355975,0.90900946,0.2839177,-0.069451876,0.40237507,0.39744925,-0.24973775,-0.4510149,-0.44691956,0.46167648,-0.46180788,-0.016691612,0.09344499,-0.31993684,0.4102785,0.018361991,0.0062745092,0.14463943,0.2805755,-0.15749177,0.23907858,-0.2801374,0.12976205,0.30223,0.081321195,-0.0550756,-0.008712164,-0.19776954,-0.43687597,-0.22649549,-0.25007275,-0.08925896,-0.015807442,0.37983808,0.04676527,-0.27814,0.13191734,-0.2595033,-0.2538539,-0.6266314,0.07517225,0.0735193,-0.41718236,0.055147097,-0.22481234,-0.012394355,-0.4077643,0.47276962,-0.09642511,0.20678553,-0.30821168,-0.18019956,-0.3971363,0.09861836,-0.032075793,-0.20901453,0.2565045,0.39978597,0.22867052,0.11024259,-0.06794974,-0.14752689,-0.16134807,0.25746125,-0.15089504,-0.4333537,-0.01565285,-0.034996398,0.1566903,-0.121600375,0.07430124,-0.13482635,-0.15104413,-0.23947793,-0.14601566,0.2739464,0.0013063148,-0.07693773,-0.102891915,0.0040954147,0.25619885,-0.11592847,-0.13008842,-0.05784495,-0.07923963,-0.078659035,-0.3048372,-0.017051915,-0.10306632,0.041162472,-0.0068969806,-0.016927449,-0.07891725,0.06333225,-0.013902649,0.14417349,-0.045785405,-0.05471026,-0.24674617,-0.18655477,-0.18716252,-0.0010276531,0.047985476,0.13830763,-0.23151365,0.029426567,-0.07717294,-0.05821259,-0.053454872,0.017709991,-0.17497016,0.0004892966360856269,0.0003669724770642202,0.0003669724770642202,0.0004892966360856269,0.0007339449541284404,0.0,0.0
F,1.0,23.0,15.0,2.0,1129.0,0.0699734278122232,0.0035429583702391,1.0,0.0,5.0,0.0,4.428697962798937,0.0,4.428697962798937,0.0,0.0,0.0,0.0,0.0,7.0,280.2641203703704,0.0249764400478715,1.0,1.0,42.75624811571559,0.1428571428571428,0.7142857142857143,0.2857142857142857,2.321928094887362,0.9751060324573732,20.571428571428573,4.0,13.0,0.6923076923076923,0.4615384615384615,0.0,0.0,511.0998833333333,0.0,806,2.337,0.5431,-2.1383533,4.091206,-0.28334725,0.19354576,0.18171111,1.8008329,0.16472308,0.9090849,-1.1918516,-1.566577,0.8544415,0.7827895,-0.7553308,-0.8693402,-0.82684195,-0.33024162,0.47207785,-0.6031192,0.8919055,0.67184675,-0.49529746,-0.20199108,0.19086929,-0.42347744,-0.41341743,-0.5945649,0.17470698,-0.54404795,-0.03193594,0.8846551,0.19246106,0.032922447,-0.16897418,0.43484342,0.023761718,-0.14416768,-0.4593313,-0.6303337,-0.460352,-1.095733,-0.20016731,0.16793624,0.0707845,0.03592409,-0.22233266,0.4689622,0.35013565,0.036048472,-0.20753634,0.35402358,-0.18987958,-0.113030046,0.5612686,-0.49056146,0.40922713,0.41997728,-0.32936978,-0.10969812,-0.062402707,0.007649046,-0.07294696,-0.03419929,0.26374373,-0.0986268,-0.22028165,-0.005264623,0.2855343,-0.20325047,0.46133703,-0.09276316,0.40062967,0.18177927,-0.0010021657,-0.046513434,-0.1673902,-0.17832223,0.15580748,-0.0043924493,-0.19954892,-0.05949885,-0.3615762,0.05971666,-0.16977225,0.41211766,-0.1816047,0.15793636,0.06488144,-0.26925683,-0.17686538,0.34133312,-0.10773211,-0.1526037,0.17287743,-0.11288067,0.03013742,0.3276175,0.5290997,0.36559865,-0.15031669,-0.1887076,0.19199392,0.10493846,0.0138708195,-0.64132893,0.12969705,0.099309586,-0.17186603,0.22747576,0.09076929,0.19525029,0.03940642,0.23418789,-0.10144701,0.007219467,-0.4611843,0.072136156,-0.048745893,-0.29015842,-0.037522577,-0.29755655,0.39511794,0.34416154,0.24621025,-0.118353635,0.2605731,0.29283202,-0.26479876,-0.20098934,0.0,0.0,0.0,0.0008857395925597874,0.0,0.0,0.0
F,0.0,14.0,7.0,3.0,4858.0,0.0452861259777686,0.0016467682173734,1.0,1.0,45.0,2.0,9.263071222725404,0.4116920543433511,9.674763277068752,0.0002058460271716,0.0,0.0,0.0,0.0,22.0,1680.5370949074074,0.0130910528941416,3.0,3.0,123.61631722481944,0.0909090909090909,0.5,0.4545454545454545,2.321928094887362,0.8949645376549995,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1469149.5069666666,0.0,855,3.355,0.4456,-1.4691648,0.06467958,0.8913557,-0.8559179,1.0126928,0.2693255,0.5393174,-2.0549133,-0.5019908,-0.24420255,-0.6690399,-0.49533808,-0.27281848,0.46574557,-0.29995194,0.30151615,-0.40703392,-0.7915729,0.00087391323,0.102848426,-0.521043,0.6776663,0.32605916,-0.8110896,0.24122633,0.12420098,-0.38452563,-0.23760341,-0.041479867,0.344552,0.8164259,0.3094149,0.3461973,0.36730042,-0.2928967,-0.27495888,0.14739747,0.16095461,0.20791775,-0.36562595,-0.17776035,-0.056719385,-0.04615032,0.1244257,0.041145023,-0.5385871,-0.17815858,-0.21092808,0.25012928,0.23361751,0.39278352,0.5675062,0.04989128,0.17965336,0.16002801,-0.24087702,-0.07922238,0.017518887,-0.01287391,0.57777965,-0.07808286,-0.018284418,-0.051686577,-0.008326993,0.26801717,0.16288987,0.11241387,-0.2375049,-0.035577178,-0.27303943,-0.03893469,0.03333284,0.0059688063,-0.22363545,-0.44706696,0.16826288,0.09851581,0.005937972,-0.12071091,-0.046955686,0.02556029,-0.16168405,0.24762227,-0.04181828,-0.036886524,-0.09366501,0.008370023,-0.073546186,-0.35274222,0.14665389,0.11202475,-0.08236693,-0.049818587,-0.114905365,-0.14104992,0.21250969,-0.26885623,-0.03905764,-0.23536773,0.06595439,-0.09585364,-0.01668644,0.0081805745,0.17172424,0.05468187,0.059675507,-0.086184904,-0.20137182,-0.060096793,-0.23685533,-0.18769115,-0.0075407266,0.011325678,-0.07741169,0.21494964,0.025303885,0.2280149,0.024343174,-0.10093354,-0.02352736,0.022978146,0.17430489,0.09622442,-0.118668094,-0.08773455,-0.12985043,-0.25118414,-0.014547323,0.0004116920543433512,0.0,0.0002058460271716756,0.001440922190201729,0.0,0.0,0.0
F,0.0,8.0,13.0,2.0,1808.0,0.0248893805309734,0.0016592920353982,1.0,1.0,10.0,6.0,5.530973451327434,3.31858407079646,8.849557522123893,0.0,0.0,0.0,0.0,0.0,17.0,1241.2674421296297,0.0136956786450736,3.0,3.0,270.08405037588483,0.2352941176470588,0.3529411764705882,0.1764705882352941,2.584962500721156,0.8887263188962904,14.176470588235292,0.0,0.0,0.0,0.0,0.0,0.0,1469149.5069666666,0.0,502,3.1849,1.063,-1.2307414,0.5080879,-0.98258036,0.77152485,1.6420286,-0.7391571,2.6748075,-1.207382,1.3225712,0.21395531,-0.34007302,-0.45042872,-0.38728982,-1.64082,-1.1726223,0.14743216,0.56112915,0.34259683,1.37814,0.6264429,1.3370172,0.1606659,-0.0821854,-0.50572896,0.79470086,0.2395587,-1.5084287,-0.085516736,-0.6956478,0.09070023,0.79078025,0.29752526,0.6999048,-0.04289733,0.5088105,0.55692697,0.38052842,0.107553504,-0.369076,-0.53538036,-0.03838069,0.28122774,-0.34278107,-0.002338658,-0.14600687,0.4501606,0.104822814,-0.35678732,-0.07745689,-0.074151024,-0.18781467,0.3560608,0.08319133,-0.17055817,-0.35933504,-0.077467754,0.37443027,-0.03961391,0.37676707,0.38506758,-0.43743172,-0.094663374,-0.23344612,0.0063829883,-0.7785452,-0.4717761,-0.022604072,0.2485079,0.24262089,0.36142018,0.026877364,0.059805915,-0.20376179,-0.45124057,-0.24514382,0.32213286,-0.2295467,0.43509397,0.39262754,0.1082102,-0.3421953,-0.33666342,-0.04324684,-0.29672924,-0.4310159,-0.39994708,0.7003765,-0.39048633,-0.037303645,0.42510936,-0.046013806,-0.07043401,0.18353795,0.2705338,-0.007635561,0.23307833,0.2031279,0.17292944,0.192816,-0.81469506,0.18459018,0.029604286,-0.5050976,-0.17516913,-0.19539465,0.13357109,0.026015982,0.49105713,-0.34428272,0.26381886,0.098130725,-0.08676997,-0.13322374,0.15691583,-0.3900374,-0.03327582,0.34110287,0.19504048,0.42491737,0.09450915,-0.21666953,-0.22632217,-0.14629315,-0.1264841,0.31742895,0.3734534,0.21735877,0.07769315,0.0,0.0,0.0,0.0022123893805309734,0.0,0.0,0.0
F,0.0,5.0,6.0,0.0,1730.0,0.0369942196531791,0.0,1.0,0.0,10.0,0.0,5.780346820809248,0.0,5.780346820809248,0.0,0.0,0.0,0.0,0.0,18.0,1098.692673611111,0.0163831073350464,2.0,2.0,108.62138449311122,0.1666666666666666,0.5,0.8888888888888888,2.0,0.3876239630951643,30.444444444444443,0.0,0.0,0.0,0.0,0.0,0.0,1469149.5069666666,0.0,940,2.8705,0.5665,-1.3372072,-0.6585921,1.8845613,-0.793075,-0.17818117,0.36972767,-0.26324877,-0.4133815,0.49165535,-0.56990695,0.30626723,-1.0697806,0.10529163,0.27314675,1.6346654,-0.16334365,-1.7319946,0.09133852,1.2068007,-0.10475545,-0.30196044,0.12056639,1.1358132,0.021031445,0.587523,-0.019601284,0.73361903,-0.15956451,0.42433473,0.09537649,-0.06408129,-0.16351964,0.2805274,-0.51386064,0.2890914,0.02181182,0.10870881,0.21527387,0.31676182,0.4751164,-0.12792003,0.06914157,0.078283645,-0.5786654,0.067395724,-0.11423558,0.10831616,0.16146293,-0.32378942,-0.72464865,-9.9852296e-05,-0.14825417,0.08536459,0.1883623,0.4619915,0.08424662,-0.17875016,0.3875636,0.05633379,-0.23239702,-0.06727602,0.25670528,0.37610814,0.1029237,0.015539688,0.028340053,-0.04056289,-0.33539125,-0.07585825,0.060890317,-0.075849205,-0.22867712,0.37860554,-0.1379894,-0.21713272,-0.025565984,-0.237408,0.36356178,-0.36820462,0.03803661,-0.11852578,-0.1660167,-0.03546017,0.09598346,-0.20935883,-0.109688036,-0.020712437,0.13200873,-0.09670199,-0.2290482,-0.18895522,-0.030979928,-0.036890246,0.04503045,-0.31189612,0.051463105,-0.040928777,0.30115506,-0.19453071,0.24999271,-0.13725407,0.12218394,0.16058274,0.026820503,0.23025464,-0.2075755,-0.26229367,0.17650415,-0.0014570637,-0.014234411,-0.20240787,0.050599005,-0.24500564,-0.04617925,0.16946486,0.21300101,0.13181691,-0.08525877,0.23411109,-0.22096454,0.29831082,0.16412808,0.25960097,0.015004243,0.22548996,0.118047975,0.24869591,0.2125755,0.0,0.0011560693641618498,0.0,0.0005780346820809249,0.0,0.0,0.0
F,0.0,6.0,8.0,2.0,2777.0,0.0352898811667266,0.0,1.0,0.0,12.0,0.0,4.321209938782859,0.0,4.321209938782859,0.0,0.0,0.0,0.0,0.0,22.0,199.8510300925926,0.1100819945226563,1.0,1.0,16.33820907517204,0.1363636363636363,0.2727272727272727,1.0,1.0,0.0,12.727272727272728,1.0,1.0,0.0,0.0,0.0,0.0,1140.4132166666668,0.0,1850,2.9358,0.225,-1.5946252,2.1697145,1.3431995,0.89393383,0.6453667,-0.2146576,0.19414577,0.8925941,-2.3661716,-1.0374225,-0.7867339,-0.1709692,0.2932441,0.0070638936,-1.5375625,1.5479224,-0.93895423,-1.0186244,-0.2318441,-0.026030695,-0.5188461,0.13401097,-0.06171618,-0.7063698,-0.09162013,-0.75477797,0.23693106,0.17943245,-0.4425324,-0.3845775,-0.41140008,-0.5269869,-0.07076928,-0.12942548,-0.077216,0.03234106,-0.09165841,0.0326558,0.31020528,0.14618647,0.025992164,-0.048303958,0.43160543,0.17983711,-0.018334977,0.51250064,-0.6971669,0.44353,-0.15365808,-0.012169801,0.21334821,0.2168274,0.34078363,-0.3819743,-0.18540668,0.40231964,-0.15419394,-0.26681536,0.06665939,-0.1904922,0.292436,0.22438222,0.14694166,-0.0713281,-0.36691514,0.15808897,-0.16879922,0.010295745,0.015179531,0.20201421,0.58762544,-0.087391764,-0.054933537,-0.048406146,-0.16652143,0.28238466,-0.22668602,0.05172226,0.04837434,-0.14900473,-0.19743404,-0.11538915,0.010317674,0.45090756,0.17780963,0.2541019,-0.014396572,0.31805274,0.15768786,0.04533341,-0.034204353,-0.10158928,0.1539461,-0.032427877,-0.2085032,-0.01759164,0.046725944,-0.06466871,0.09888035,0.04706776,0.26329312,0.09029767,0.25178978,0.09773818,-0.30428457,0.21519217,-0.16244079,0.12795153,-0.14680007,0.12073441,0.15245676,-0.04293028,-0.0020280324,-0.12536168,-0.12528068,0.083306246,0.040095832,0.31424373,-0.06556952,-0.17098148,0.1895841,0.017145488,-0.03276495,-0.17679559,0.013269347,0.28610593,-0.042075682,0.031139562,0.0,0.0010803024846957148,0.0014404033129276198,0.0007202016564638099,0.00036010082823190496,0.0,0.0
F,1.0,5.0,1.0,1.0,9193.0,0.0376373327531817,0.0020667899488741,1.0,1.0,55.0,10.0,5.982813009898836,1.0877841836179702,7.070597193516806,0.0,0.0,0.0,0.0,0.0,18.0,3015.9691666666668,0.0059682307760109,1.0,1.0,267.6144036594235,0.5,0.1666666666666666,0.2777777777777778,3.321928094887362,0.9016864143844198,71.77777777777777,2.0,4.0,0.5,0.5,0.0,0.0,140.42046666666664,0.0,3851,2.4069,0.6072,-0.6514884,-4.212045,0.1264334,-0.24307026,0.5525037,-0.2130794,-1.4316863,1.3748665,-0.08931517,-0.83040684,-0.62822646,0.68677205,-0.6214625,-0.15472977,-0.07447812,-0.9479298,0.08376636,-0.15749483,0.26864177,-0.4478645,-0.51018655,0.058857765,0.26624727,0.5474051,-0.60472095,-0.19666989,-0.02144774,-0.024095187,0.08138829,-1.0848535,0.060185008,-0.007903109,-0.023123661,0.17674707,0.43511978,-0.07763409,0.26339185,0.03441369,0.042334747,-0.2305967,0.8739326,-0.20120272,0.1464815,0.08399836,0.16835637,0.39481324,0.20250955,-0.33565995,0.67090356,0.42251533,-0.18323125,-0.18921116,-0.40278244,0.37259638,-0.21512057,-0.23729074,0.35200584,0.2815055,-0.19109838,0.099682145,-0.3831376,-0.05079046,0.26639086,-0.109472685,-0.36638755,-0.27995878,0.2790961,-0.14456905,-0.27793813,0.10989302,-0.07643012,0.10392049,-0.32145038,0.1500695,0.29161233,0.100155935,0.22554162,0.097790316,0.28190115,-0.33232132,0.21640003,-0.10902375,0.063679785,-0.3875305,-0.040030375,0.21470344,-0.012468335,0.032547038,-0.0028937745,-0.13304007,0.04318426,0.12597816,0.063469745,-0.3035624,0.40101773,-0.1325127,0.20252751,0.2201012,0.14430147,0.14289178,-7.4577656e-05,-0.009595719,0.020962488,-0.048703603,0.24771576,-0.29171047,-0.15230586,-0.19470096,0.040562168,-0.09578403,-0.05832515,-0.023428595,-0.13447575,0.23187953,0.17678149,0.2663105,0.022379125,0.20803764,-0.1630648,0.15467343,-0.08132904,0.061565947,-0.047608208,0.05068448,0.31556147,0.25782263,0.062078882,0.13116488,0.0010877841836179703,0.0007614489285325791,0.0,0.0015228978570651583,0.0006526705101707821,0.0,0.0
F,0.0,5.0,1.0,0.0,3322.0,0.0273931366646598,0.0,1.0,0.0,27.0,0.0,8.127633955448525,0.0,8.127633955448525,0.0,0.0,0.0,0.0,0.0,10.0,1025.474270833333,0.0097515854706658,2.0,2.0,293.64180927957807,0.6,0.1,0.1,2.0,0.5816718657178868,8.0,2.0,2.0,0.0,0.5,0.0,0.0,3445.579916666667,0.0,1125,2.9865,0.0107,-1.9271891,1.1526737,0.7773728,2.0333166,-0.6539855,-1.968314,-0.28767893,0.3064564,0.9715361,-2.6458836,1.9493722,0.8100556,-0.98507077,0.7947532,0.56773245,0.81292737,-1.0584759,-1.0889146,-1.2762904,0.9950989,-0.29279822,-0.34117094,-0.06765423,-0.26971823,0.12929285,-0.089390025,-1.1165845,-0.34200528,0.2644029,-0.10498659,0.2284277,0.13931842,0.12868777,0.21648423,-0.94351494,0.39064687,-0.11761567,-0.3144623,0.41709518,0.24786271,-0.27819797,1.0249636,0.7172567,0.23927355,-0.176713,0.6237099,-0.6661768,-0.30929354,0.5783398,-0.42904317,-0.38063976,0.5951055,0.34172383,0.1522526,-0.17994788,-0.030060817,-0.3450264,0.053914674,0.46186858,-0.42931545,-0.17908461,0.36826536,-0.112292,0.4824497,0.42802092,0.38855407,-0.4669808,0.13145353,-0.35259068,-0.57131886,0.29081348,-0.084405035,0.13710175,0.10694329,-0.22274844,-0.2921372,0.4873844,0.03226153,-0.31327975,0.55380845,0.17304897,0.18163809,-0.38760626,-0.3795496,-0.27038896,0.44790402,0.031113964,0.22013956,-0.16177204,-0.18611296,0.11859086,-0.13882983,-0.046818137,0.15786889,0.17725988,0.07596985,-0.17330271,-0.15371476,-0.19333735,-0.3730736,-0.27995577,0.24653517,0.049361385,0.25688,-0.23168232,-0.27496308,0.011955681,-0.14771466,-0.19999996,0.04474903,-0.30642292,0.049197,-0.5636946,-0.22311279,0.008133055,0.31019256,-0.081911296,-0.13497767,-0.18574429,-0.36164397,0.17281789,-0.13047385,-0.08616925,0.070833564,-0.22818436,0.019931773,0.015220161,0.29624698,0.0,0.0,0.0,0.0009030704394942806,0.0,0.0,0.0
F,0.0,4.0,9.0,1.0,5292.0,0.0156840513983371,0.0153061224489795,1.0,0.0,2.0,0.0,0.3779289493575208,0.0,0.3779289493575208,0.0039682539682539,0.0,0.0,0.0,0.0,3.0,42.08375,0.0712864229067039,1.0,1.0,19.784972741638672,0.0,1.0,1.0,1.0,0.0,12.333333333333334,1.0,2.0,0.5,0.5,0.0,0.0,447.85446666666667,0.0,3961,3.7362,0.7828,-1.5096326,-0.4531832,2.2447278,0.31705078,-0.7104846,0.63493216,1.3651956,1.0905203,-0.3674594,1.0767034,0.0077097313,-0.90412194,0.31486136,-0.40014762,-0.12939228,0.3406202,-0.46622705,0.3771072,0.37532166,0.41394168,0.077578455,-0.06925931,-0.5754087,-0.008163752,-0.1492762,0.15840514,-0.52422637,0.540683,0.087033905,-0.3773662,-0.18802609,0.15773913,-0.20424469,0.119356394,-0.16480249,0.17883162,-0.115926,0.3533173,-0.066647574,0.14896339,-0.43182522,-0.13978276,-0.13269979,-0.48129532,-0.06583827,0.5023612,0.43935946,-0.029578678,0.13159254,0.080079466,0.092773095,-0.17697479,-0.48792335,0.10873201,-0.30413324,-0.21046734,-0.16679697,-0.18060195,-0.04436038,0.06487094,-0.08517038,-0.08135483,-0.2175926,0.35526422,-0.15548906,-0.14321075,-0.33160913,0.23820606,0.33521822,-0.022192976,-0.09092394,0.048795424,-0.29424724,-0.030315315,0.06726843,-0.14046508,0.35214537,-0.46056107,-0.29750252,-0.10177343,-0.11541073,-0.2955133,-0.28266904,-0.07354294,0.07498308,-0.13778406,0.10813316,0.115441374,0.0229646,-0.035997055,-0.1625255,-0.07403833,0.006532535,-0.19418971,0.27011847,-0.14930631,0.05704421,0.23131263,0.009681527,0.3317388,-0.09265356,0.031341337,-0.041814394,0.0043957992,0.05363748,-0.0038012234,-0.18068637,-0.08364697,-0.039088376,-0.107478335,0.06983836,-0.06658018,-0.10676086,-0.19468814,-0.022537287,0.031881783,-0.009377983,-0.16904028,-0.034455642,0.04288872,0.11387333,0.1501741,-0.050156303,-0.15012199,-0.043421943,-0.06111123,0.065918066,0.062471673,0.0024565381708238853,0.0007558578987150416,0.000944822373393802,0.0,0.0,0.0,0.0
