id,edited,likeCount,collectionCount,shareCount,wordCount,lfFreq,emojiPerWord,withImages,withVideos,imageCount,videoCount,imageTextRatio,videoTextRatio,mediaTextRatio,linkPerWord,utmLinkRatio,authorUseNickname,authorSuspicious,authorHasCreatorBadge,authorHasOfficialCreatorBadge,postCount,timeDiffDays,postFreq,maxPostsPerDay,maxPostsPer12h,postIntervalStd,businessHourRatio,weekendRatio,travelPostRatio,forumVariety,forumEvenness,avgLikes,commentCount,totalCommentCount,subcomDepth,authorReplyRatio,authorReplyLinkRatio,authorReplyUTMLinkRatio,firstCommentTimeDiff,first30MinCommentRatio
261406898,1,45,107,11,5647,0.031875332034708694,0.01009385514432442,1,0,51,0,9.031344076500798,0.0,9.031344076500798,0.0015937666017354348,0.0,1,0,0,0,28,469.8644791666667,0.05959165087273613,1,1,17.374784156994217,0.07142857142857142,0.6071428571428571,0.07142857142857142,3.169925001442312,0.7725069167540703,30.321428571428573,5,8,0.375,0.375,0.0,0,77.39675000000001,0.0
261410395,1,34,41,2,8175,0.04819571865443425,0.01382262996941896,1,1,36,2,4.4036697247706424,0.24464831804281348,4.648318042813456,0.0,0,1,0,0,0,8,795.3879513888888,0.01005798489407663,1,1,68.97337462328176,0.5,0.25,1.0,1.0,0,150.5,7,21,0.6666666666666666,0.42857142857142855,0.0,0,316.34929999999997,0.0
261409929,1,23,15,2,1129,0.06997342781222321,0.00354295837023915,1,0,5,0,4.428697962798937,0.0,4.428697962798937,0.0,0,1,0,0,0,7,280.2641203703704,0.024976440047871508,1,1,42.75624811571559,0.14285714285714285,0.7142857142857143,0.2857142857142857,2.321928094887362,0.9751060324573733,20.571428571428573,4,13,0.6923076923076923,0.46153846153846156,0.0,0,511.0998833333333,0.0
261406545,0,14,7,3,4858,0.045286125977768626,0.0016467682173734047,1,1,45,2,9.263071222725403,0.41169205434335115,9.674763277068752,0.0002058460271716756,0.0,1,0,0,0,22,1680.5370949074074,0.01309105289414164,3,3,123.61631722481943,0.09090909090909091,0.5,0.45454545454545453,2.321928094887362,0.8949645376549995,43.0,0,0,0,0,0,0,1469149.5069666666,0
261405430,0,9,2,1,126,0.06349206349206349,0.015873015873015872,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,6,769.4993402777778,0.007797277640074505,1,1,237.91335952077378,0.3333333333333333,0.5,0.5,2.0,0.920619835714305,24.166666666666668,18,31,0.41935483870967744,0.22580645161290322,0.0,0,340.1234166666666,0.0
261411537,0,8,13,2,1808,0.024889380530973452,0.00165929203539823,1,1,10,6,5.530973451327434,3.3185840707964602,8.849557522123893,0.0,0,1,0,0,0,17,1241.2674421296297,0.013695678645073681,3,3,270.08405037588483,0.23529411764705882,0.35294117647058826,0.17647058823529413,2.584962500721156,0.8887263188962904,14.176470588235293,0,0,0,0,0,0,1469149.5069666666,0
261407581,0,5,6,0,1730,0.03699421965317919,0.0,1,0,10,0,5.780346820809248,0.0,5.780346820809248,0.0,0,1,0,0,0,18,1098.692673611111,0.01638310733504646,2,2,108.62138449311122,0.16666666666666666,0.5,0.8888888888888888,2.0,0.38762396309516434,30.444444444444443,0,0,0,0,0,0,1469149.5069666666,0
261407084,0,6,8,2,2777,0.03528988116672668,0.0,1,0,12,0,4.321209938782859,0.0,4.321209938782859,0.0,0,1,0,0,0,22,199.8510300925926,0.11008199452265631,1,1,16.33820907517204,0.13636363636363635,0.2727272727272727,1.0,1.0,0,12.727272727272727,1,1,0.0,0.0,0,0,1140.4132166666668,0.0
261412029,1,5,1,1,9193,0.03763733275318177,0.002066789948874143,1,1,55,10,5.982813009898836,1.0877841836179702,7.070597193516806,0.0,0,1,0,0,0,18,3015.9691666666668,0.005968230776010918,1,1,267.6144036594235,0.5,0.16666666666666666,0.2777777777777778,3.321928094887362,0.9016864143844198,71.77777777777777,2,4,0.5,0.5,0.0,0,140.42046666666664,0.0
261411702,1,1,0,0,47,0.0851063829787234,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,1.0,1.0,1.0,0,1.0,0,0,0,0,0,0,1469149.5069666666,0
